contractid,planid,org_type,plan_type,partd,snp,eghp,org_name,org_marketing_name,plan_name,parent_org,contract_date
H0111,1,Local CCP,Local PPO,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare No Premium Open (PPO),Centene Corporation,01/01/2018
H0111,2,Local CCP,Local PPO,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Low Premium Open (PPO),Centene Corporation,01/01/2018
H0111,3,Local CCP,Local PPO,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Premium Enhanced Open (PPO),Centene Corporation,01/01/2018
H0111,4,Local CCP,Local PPO,Yes,Yes,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Dual Access Open (PPO D-SNP),Centene Corporation,01/01/2018
H0111,5,Local CCP,Local PPO,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Endurance Open (PPO),Centene Corporation,01/01/2018
H0271,16,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Dual Complete (PPO D-SNP),"UnitedHealth Group, Inc.",01/01/2019
H0439,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna TotalCare (HMO D-SNP),CIGNA,01/01/2014
H0439,3,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna Preferred GA Medicare (HMO),CIGNA,01/01/2014
H0439,6,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna Preferred Plus Medicare (HMO),CIGNA,01/01/2014
H0439,7,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna Preferred Medicare (HMO),CIGNA,01/01/2014
H0439,8,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna Preferred Medicare (HMO),CIGNA,01/01/2014
H0439,9,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna Preferred Medicare (HMO),CIGNA,01/01/2014
H0439,10,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna Preferred Medicare (HMO),CIGNA,01/01/2014
H0439,11,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna Preferred Medicare (HMO),CIGNA,01/01/2014
H0439,12,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna,Cigna TotalCare Plus (HMO D-SNP),CIGNA,01/01/2014
H0710,33,Local CCP,Local PPO,Yes,Yes,No,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",UnitedHealthcare,UnitedHealthcare Nursing Home Plan 2 (PPO I-SNP),"UnitedHealth Group, Inc.",07/01/2004
H1109,5,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC.(GA),Aetna Medicare,Aetna Medicare Select Plan (HMO),CVS Health Corporation,07/01/2005
H1109,6,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC.(GA),Aetna Medicare,Aetna Medicare Select Plan (HMO),CVS Health Corporation,07/01/2005
H1111,11,Local CCP,HMO/HMOPOS,Yes,No,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,AARP Medicare Advantage Walgreens (HMO),"UnitedHealth Group, Inc.",07/01/2005
H1112,6,Local CCP,HMO/HMOPOS,Yes,Yes,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Dual Access (HMO D-SNP),Centene Corporation,07/01/2005
H1112,33,Local CCP,HMO/HMOPOS,Yes,Yes,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Dual Liberty (HMO D-SNP),Centene Corporation,07/01/2005
H1112,34,Local CCP,HMO/HMOPOS,No,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Patriot No Premium (HMO-POS),Centene Corporation,07/01/2005
H1112,35,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare No Premium Choice (HMO),Centene Corporation,07/01/2005
H1112,37,Local CCP,HMO/HMOPOS,Yes,Yes,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Specialty No Premium (HMO C-SNP),Centene Corporation,07/01/2005
H1112,38,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare No Premium (HMO),Centene Corporation,07/01/2005
H1112,39,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare No Premium (HMO),Centene Corporation,07/01/2005
H1112,40,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare No Premium Focus (HMO),Centene Corporation,07/01/2005
H1112,42,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Giveback (HMO),Centene Corporation,07/01/2005
H1112,43,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare Assist (HMO),Centene Corporation,07/01/2005
H1112,44,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF GEORGIA, INC.",Wellcare,Wellcare No Premium (HMO),Centene Corporation,07/01/2005
H1170,2,Local CCP,HMO/HMOPOS,Yes,No,No,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,Kaiser Permanente Senior Advantage Enhanced 1 (HMO),"Kaiser Foundation Health Plan, Inc.",01/01/1997
H1170,8,Local CCP,HMO/HMOPOS,Yes,Yes,No,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,Senior Advantage Medicare Medicaid Plan 1 (HMO D-SNP),"Kaiser Foundation Health Plan, Inc.",01/01/1997
H1170,9,Local CCP,HMO/HMOPOS,Yes,No,No,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,Kaiser Permanente Senior Advantage Basic 1 (HMO),"Kaiser Foundation Health Plan, Inc.",01/01/1997
H1170,10,Local CCP,HMO/HMOPOS,Yes,No,No,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,Kaiser Permanente Senior Advantage Enhanced 2 (HMO),"Kaiser Foundation Health Plan, Inc.",01/01/1997
H1170,12,Local CCP,HMO/HMOPOS,Yes,No,No,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,Kaiser Permanente Senior Advantage Basic 2 (HMO),"Kaiser Foundation Health Plan, Inc.",01/01/1997
H1608,28,Local CCP,Local PPO,Yes,No,No,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Advantra Preferred Plan (PPO),CVS Health Corporation,07/01/2005
H1748,1,Local CCP,HMO/HMOPOS,Yes,No,No,"SONDER HEALTH PLANS, INC.","Sonder Health Plan, Inc.",Sonder Complete Health Medicare Advantage (HMO),"Avian Health Holdings, LLC",01/01/2021
H1924,1,MSA,MSA,No,No,No,"PORT HOLDINGS, INC.",Lasso Healthcare,Lasso Healthcare Growth (MSA),"Port Holdings, Inc.",01/01/2019
